"priority","code","supplierCode","manufacturer","description","currentUrl","width","height","issues","officialSite","searchQuery","searchUrl"
"170","CPFI-2100MBK","PFI-2100MBK","Canon","PFI-2100MBK Matte Black For GP/PRO -160 ml","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPFI-2100MBK PFI-2100MBK product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPFI-2100MBK%20PFI-2100MBK%20product%20image"
"170","CPFI-2100O","PFI-2100O","Canon","PFI-2100O Orange Ink For GP -160 ml","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPFI-2100O PFI-2100O product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPFI-2100O%20PFI-2100O%20product%20image"
"170","CPFI-2300MBK","PFI-2300MBK","Canon","PFI-2300MBK Matte Black Ink For GP/PRO -330 ml","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPFI-2300MBK PFI-2300MBK product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPFI-2300MBK%20PFI-2300MBK%20product%20image"
"170","CPFI-2300O","PFI-2300O","Canon","PFI-2300O Orange Ink For GP -330 ml","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPFI-2300O PFI-2300O product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPFI-2300O%20PFI-2300O%20product%20image"
"170","CPFI-320FP","PFI-320FP","Canon","PFI-320FP Fluorescent Pink Ink for Gp Range - 300ML for Gp Range - 300ML","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPFI-320FP PFI-320FP product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPFI-320FP%20PFI-320FP%20product%20image"
"170","CPHOGLO914-30M1","9200080060","Canon","A0 Canon Ultra Gloss 200GSM 914MM X 30M Single Roll for 36"" Printers IJM-F20G","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPHOGLO914-30M1 9200080060 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPHOGLO914-30M1%209200080060%20product%20image"
"170","CPLOTRACA1-100ST","9200080024","Canon","Ijm Plottex Trace Paper 110 G/m A1 Sheets G/m A1 Sheets","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPLOTRACA1-100ST 9200080024 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPLOTRACA1-100ST%209200080024%20product%20image"
"170","CPLOTRACA2-200ST","9200080034","Canon","Ijm Plottex Trace Paper 110 G/m A2 Sheets G/m A2 Sheets","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPLOTRACA2-200ST 9200080034 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPLOTRACA2-200ST%209200080034%20product%20image"
"170","CPLOTRACA3-200ST","9200080035","Canon","Ijm Plottex Trace Paper 110 G/m A3 Sheets G/m A3 Sheets","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPLOTRACA3-200ST 9200080035 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPLOTRACA3-200ST%209200080035%20product%20image"
"170","CPLOTRACA4-200ST","9200080036","Canon","Ijm Plottex Trace Paper 110 G/m A4 Sheets G/m A4 Sheets","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPLOTRACA4-200ST 9200080036 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPLOTRACA4-200ST%209200080036%20product%20image"
"170","CPMC170G1067-30M","9200080072","Canon","IJM-F170 Matt Coated 170 1067MM X 30M 170 G/m 1067MM X 30M 170 G/m","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPMC170G1067-30M 9200080072 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPMC170G1067-30M%209200080072%20product%20image"
"170","CPP301A3+","PP301A3+","Canon","Canon PP301A3+ 20 Shts 270 Gsm Photo Paper Plus Glossy Ii","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPP301A3+ PP301A3+ product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPP301A3%2B%20PP301A3%2B%20product%20image"
"170","CPREP1067-30M","97004170","Canon","IJM424-1067MM X 30M Repositionable SELF-ADHESIVE Repositionable SELF-ADHESIVE","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CPREP1067-30M 97004170 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CPREP1067-30M%2097004170%20product%20image"
"170","CSD-23","SD-23","Canon","SD-23 Lfp Stand (Suits (A1) 24"" Models) for Tm Models","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CSD-23 SD-23 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CSD-23%20SD-23%20product%20image"
"170","CTA-CAD-3YR-OSS","TA-CAD-3YR-OSS","Canon","TA-CAD-3YR-OSS 3 Year ON-SITE Support and Service Pack for Ipf Technical Machines","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CTA-CAD-3YR-OSS TA-CAD-3YR-OSS product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CTA-CAD-3YR-OSS%20TA-CAD-3YR-OSS%20product%20image"
