code,manufacturer,description,imageCount,primaryImage
AK-R20K-2,Akuvox,2-WIRE SIP Intercom with Keypad and Rf Card Reader,3,https://www.alloys.com.au/Images/ProductImages/Original/AK-R20K-F_2.png
AK-R20K-BK-L-KIT,Akuvox,AK-R20K-BK-L-KIT 1 X AK-R20K-BLACK-L 1 X AK-LTEMOD,3,https://www.alloys.com.au/Images/ProductImages/Original/R20K
AK-R20K-L,Akuvox,SIP Intercom with Keypad and Reader LTE,2,https://www.alloys.com.au/Images/ProductImages/Original/AK-R20K-F.png
AK-R20K-L-KIT,Akuvox,AK-R20K-L-KIT 1 X AK-R20K-L 1 X AK-LTEMOD,2,https://www.alloys.com.au/Images/ProductImages/Original/AK-R20K-F.png
AK-R20K-SILVER,Akuvox,SIP Intercom with Keypad and Rf Card Reader Silver,4,https://www.alloys.com.au/Images/ProductImages/Original/AK-R20K-F_3.png
AK-R25K-BLACK,Akuvox,SIP Intercom with Keypad and Rf Card Reader Black,3,https://www.alloys.com.au/Images/ProductImages/Original/R25K-1.png
AK-R28A,Akuvox,SIP Android Door Phone with LCD,2,https://www.alloys.com.au/Images/ProductImages/Original/2019102500563341.png
AK-R29C,Akuvox,SIP Android Door Phone with Facial Recognition,3,https://www.alloys.com.au/Images/ProductImages/Original/2019102501000477.png
AK-S532,Akuvox,SIP Intercom with Keypad and Rf Card Reader,2,https://www.alloys.com.au/Images/ProductImages/Original/S532.png
AK-S535,Akuvox,Facial Recognition Door Phone Expandable with Different Functional Modules,2,https://www.alloys.com.au/Images/ProductImages/Original/S535.png
AK-S535-LTE,Akuvox,S535 Expandable LTE Module,2,https://www.alloys.com.au/Images/ProductImages/Original/AK-S535-LTE.jpg
AK-S539,Akuvox,Android 12 Smart Door Phone with 10 Inch Touch Screen,3,https://www.alloys.com.au/Images/ProductImages/Original/2023011211274057.png
AK-S562CCLIP,Akuvox,C Clip for S562/S563/S567 - Black,3,https://www.alloys.com.au/Images/ProductImages/Original/562clip
AK-S562-GREY,Akuvox,"7"" SIP Indoor Monitor in Grey (Linux Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2023070318322048.png
AK-S562W-GREY,Akuvox,"7"" SIP Indoor Monitor with WI-FI in Grey (Linux Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2023070318322048.png
